county,ai_name,AIused,year
TIOGA,TRICHLORFON,27.34262,2008
TOMPKINS,ACEPHATE,4.9382,2008
TOMPKINS,CHLORPYRIFOS,3.16485,2008
TOMPKINS,CHLORPYRIFOS-METHYL,0.01296,2008
TOMPKINS,DICHLORVOS,0.1302,2008
TOMPKINS,DICROTOPHOS,0.0984,2008
TOMPKINS,DISULFOTON,4.84,2008
TOMPKINS,GLYPHOSATE,96.38485,2008
TOMPKINS,METHAMIDOPHOS,1.224,2008
TOMPKINS,NALED,0.0058,2008
TOMPKINS,PHOSMET,114.59,2008
TOMPKINS,TRICHLORFON,53.15266,2008
ULSTER,ACEPHATE,0.2619,2008
ULSTER,AZINPHOS-METHYL,0.145,2008
ULSTER,BENSULIDE,2.3,2008
ULSTER,CHLORPYRIFOS,4.2741,2008
ULSTER,DICHLORVOS,0.1591,2008
ULSTER,PHOSMET,112.826,2008
ULSTER,TRICHLORFON,68.0975,2008
UnreportedCounty,ACEPHATE,0.3744,2008
UnreportedCounty,PROPETAMPHOS,0.00189,2008
UnreportedCounty,TRICHLORFON,136.86,2008
WARREN,ACEPHATE,0.0083,2008
WARREN,CHLORPYRIFOS,1.143624,2008
WARREN,DICHLORVOS,0.202,2008
WARREN,PHOSMET,7.833,2008
WARREN,TRICHLORFON,141.04918,2008
WASHINGTON,CHLORPYRIFOS,1.86265,2008
WASHINGTON,DICHLORVOS,0.03348,2008
WASHINGTON,GLYPHOSATE,39.401,2008
WASHINGTON,PHOSMET,2.023,2008
WASHINGTON,TRICHLORFON,65.844,2008
WAYNE,ACEPHATE,0.3568,2008
WAYNE,CHLORPYRIFOS,23.24088,2008
WAYNE,DIAZINON,14.85375,2008
WAYNE,DICHLORVOS,0.06515,2008
WAYNE,DIMETHOATE,434.45625,2008
WAYNE,GLYPHOSATE,247.476,2008
WAYNE,METHAMIDOPHOS,623.4,2008
WAYNE,TEMEPHOS,0.441,2008
WAYNE,TRICHLORFON,439.29693,2008
WESTCHESTER,ACEPHATE,5023.1779,2008
WESTCHESTER,BENSULIDE,98.1256,2008
WESTCHESTER,CHLORPYRIFOS,118.62197,2008
WESTCHESTER,DIAZINON,0.03944,2008
WESTCHESTER,DICHLORVOS,27.98727,2008
WESTCHESTER,DICROTOPHOS,0.8364,2008
WESTCHESTER,DIMETHOATE,1.07501,2008
WESTCHESTER,DISULFOTON,2.5763,2008
WESTCHESTER,FENAMIPHOS,51.5,2008
WESTCHESTER,GLYPHOSATE,1.57631,2008
WESTCHESTER,ISOFENPHOS,1.746,2008
WESTCHESTER,PARATHION,0.007375,2008
WESTCHESTER,PHOSMET,23.87,2008
WESTCHESTER,PROPETAMPHOS,2.41542,2008
WESTCHESTER,RONNEL,0.000125,2008
WESTCHESTER,TEMEPHOS,0.070623,2008
WESTCHESTER,TRICHLORFON,3592.65284,2008
WYOMING,AZINPHOS-METHYL,20,2008
WYOMING,CHLORPYRIFOS,4.671148,2008
WYOMING,DICROTOPHOS,0.0082,2008
WYOMING,DIMETHOATE,18.91815,2008
WYOMING,GLYPHOSATE,138.0101,2008
WYOMING,PHORATE,0.229,2008
WYOMING,TRICHLORFON,22.04534,2008
YATES,ACEPHATE,0.1261,2008
YATES,DICHLORVOS,0.106,2008
YATES,DICROTOPHOS,0.0082,2008
YATES,DIMETHOATE,0.6525,2008
YATES,FONOFOS,0.19844,2008
YATES,GLYPHOSATE,8.70225,2008
ALBANY,ACEPHATE,0.046754,2009
ALBANY,BENSULIDE,40.555,2009
ALBANY,CHLORPYRIFOS,3.491132,2009
ALBANY,DICHLORVOS,8.32822,2009
ALBANY,DISULFOTON,0.008,2009
ALBANY,FENAMIPHOS,22.5,2009
ALBANY,GLYPHOSATE,0.06226,2009
ALBANY,PROPETAMPHOS,0.06615,2009
ALBANY,TRICHLORFON,178.36679,2009
ALLEGANY,DIAZINON,0.005,2009
ALLEGANY,DIMETHOATE,0.1044,2009
ALLEGANY,GLYPHOSATE,25.01,2009
BRONX,ACEPHATE,134.7609,2009
BRONX,CHLORPYRIFOS,4.8527678,2009
BRONX,DICHLORVOS,0.54563,2009
BRONX,PARATHION,0.003,2009
BRONX,PROPETAMPHOS,1.40616,2009
BRONX,RONNEL,2.50E-05,2009
BRONX,TEMEPHOS,0.001026,2009
