,X,cnty_name,ai_name,AIused,year
215,215,NEWYORK,DICROTOPHOS,0.0082,2008
216,216,NEWYORK,DISULFOTON,0.4278,2008
217,217,NEWYORK,PROPETAMPHOS,6.94257,2008
218,218,NEWYORK,RONNEL,5e-05,2008
219,219,NEWYORK,TEMEPHOS,0.407151,2008
220,220,NEWYORK,TRICHLORFON,43.1912,2008
221,221,NIAGARA,ACEPHATE,1.53356,2008
222,222,NIAGARA,CHLORPYRIFOS,9.927278,2008
223,223,NIAGARA,DIAZINON,0.00065,2008
224,224,NIAGARA,DICROTOPHOS,0.2788,2008
225,225,NIAGARA,DIMETHOATE,0.6351,2008
226,226,NIAGARA,DISULFOTON,0.0326,2008
227,227,NIAGARA,GLYPHOSATE,54.91335,2008
228,228,NIAGARA,PHORATE,0.0458,2008
229,229,NIAGARA,PROPETAMPHOS,0.00189,2008
230,230,NIAGARA,TRICHLORFON,199.89916,2008
231,231,ONEIDA,ACEPHATE,95.7151,2008
232,232,ONEIDA,BENSULIDE,15.725,2008
233,233,ONEIDA,CHLORPYRIFOS,12.220178,2008
234,234,ONEIDA,DICHLORVOS,0.156,2008
235,235,ONEIDA,DICROTOPHOS,0.0164,2008
236,236,ONEIDA,GLYPHOSATE,138.4119,2008
237,237,ONEIDA,ISOFENPHOS,15.25,2008
238,238,ONEIDA,PROPETAMPHOS,0.00189,2008
239,239,ONEIDA,TRICHLORFON,127.07396,2008
240,240,ONONDAGA,ACEPHATE,15.8623,2008
241,241,ONONDAGA,BENSULIDE,26.435,2008
242,242,ONONDAGA,CHLORPYRIFOS,17.89768,2008
243,243,ONONDAGA,DIAZINON,0.0138,2008
244,244,ONONDAGA,DICROTOPHOS,0.1968,2008
245,245,ONONDAGA,DIOXATHION,0.057,2008
246,246,ONONDAGA,GLYPHOSATE,176.59725,2008
247,247,ONONDAGA,PARATHION,0.001,2008
248,248,ONONDAGA,PARATHION-METHYL,0.04,2008
249,249,ONONDAGA,PHORATE,1.04,2008
250,250,ONONDAGA,PROPETAMPHOS,0.00567,2008
251,251,ONONDAGA,TRICHLORFON,138.539,2008
252,252,ONTARIO,ACEPHATE,1.6204,2008
253,253,ONTARIO,BENSULIDE,2.3,2008
254,254,ONTARIO,CHLORPYRIFOS,5.50085,2008
255,255,ONTARIO,CHLORPYRIFOS-METHYL,0.73872,2008
256,256,ONTARIO,DICHLORVOS,0.03348,2008
